CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID PRICE,ASK PRICE,ASK QTY,STRIKE PRICE,BID QTY,BID PRICE,ASK PRICE,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"10,884","-8,467","4,91,196",22.18,188.55,21.55,50,185.20,188.60,200,"17,550.00","1,700",105.00,106.00,"1,150",-58.75,106.00,22.84,"7,58,874","2,981","18,916",
,"57,277","-9,282","18,85,519",21.81,158.00,14.15,50,157.50,158.70,100,"17,600.00",250,125.40,127.00,200,-63.15,126.40,22.62,"20,39,960","25,892","73,453",
,"27,254","7,241","10,23,887",21.57,131.00,7.65,100,130.85,131.00,700,"17,650.00",750,149.00,150.65,50,-67.05,149.00,22.31,"7,56,685","5,836","15,922",
,"76,145","-10,566","18,90,393",21.38,107.25,4.65,50,107.00,107.80,100,"17,700.00",150,175.10,177.05,50,-73.50,175.20,22.14,"7,20,360","-16,417","24,509",
,"27,739","-2,105","6,33,950",21.30,87.00,1.55,50,86.50,87.00,"3,200","17,750.00",150,203.70,207.85,300,-72.40,206.80,22.39,"95,126","-2,318","4,563",
,"1,05,668","-26,142","17,03,922",20.99,68.30,-1.75,50,68.05,69.00,"9,600","17,800.00",150,235.10,239.00,500,-78.25,237.15,21.99,"2,62,727","-5,258","36,590",
,"35,293",-595,"5,75,849",20.79,53.00,-4.55,"1,450",53.00,54.00,"2,300","17,850.00",450,267.10,274.50,150,-76.45,273.00,22.10,"16,287","-1,805","6,228",
,"1,24,919","-5,363","12,47,845",20.74,41.00,-5.35,"1,150",40.35,41.00,"3,900","17,900.00",150,306.40,311.00,50,-80.90,310.00,21.99,"50,913","-3,655","8,244",
,"27,062","-4,694","4,02,076",20.51,30.45,-7.05,50,30.35,31.00,800,"17,950.00",200,349.00,350.00,100,-78.10,349.00,21.83,"3,946",-661,"1,184",
,"1,31,135","-20,911","15,14,487",20.32,22.20,-7.95,100,22.20,22.80,450,"18,000.00",150,390.05,393.80,300,-82.20,393.90,22.67,"55,735","-1,391","8,626",
,"34,255","-2,325","4,43,816",20.26,16.20,-7.65,"1,750",15.50,16.60,50,"18,050.00",100,423.00,438.05,400,-84.85,434.15,21.89,"1,587",-203,747,
,"97,873","-4,543","10,39,521",20.38,12.00,-6.80,200,11.80,12.05,"2,800","18,100.00",150,477.50,482.30,50,-78.10,481.05,22.69,"4,284",-366,"2,882",
,"48,255","6,633","4,64,450",20.29,8.40,-6.35,100,8.40,8.70,450,"18,150.00",600,519.30,553.00,450,-83.70,523.70,21.49,542,-7,393,
,"1,17,220","-13,690","10,53,996",20.49,6.20,-5.70,50,6.10,6.35,50,"18,200.00",450,569.10,577.75,50,-82.95,575.00,23.68,"2,612",-330,"2,577",
,"25,772","-13,095","4,14,984",20.94,4.85,-4.25,50,4.70,4.90,50,"18,250.00","2,500",620.05,634.85,150,-90.80,620.40,22.84,150,-16,144,
,"87,648",781,"7,54,273",21.14,3.55,-3.95,300,3.50,3.75,50,"18,300.00",50,670.00,698.30,150,-74.90,672.50,25.54,912,-4,782,
,"72,409","41,560","3,07,898",22.11,3.25,-2.75,"1,050",2.80,3.20,900,"18,350.00",150,691.75,731.15,"4,350",-65.20,733.50,32.10,20,-2,82,
,"80,765","-19,146","4,45,926",22.46,2.50,-2.70,"1,200",2.50,2.55,100,"18,400.00",150,760.80,781.95,150,-64.10,766.10,23.62,849,-153,542,
,"22,066","-4,785","1,37,213",22.93,2.00,-2.40,50,1.90,2.00,450,"18,450.00","5,000",800.05,825.60,300,-100.35,800.00,-,17,-9,92,
,"1,17,660","-26,728","6,96,963",23.66,1.75,-2.35,50,1.75,1.85,550,"18,500.00",250,865.10,887.85,150,-91.60,870.00,29.74,"1,573",-183,919,
,"26,529","-6,715","1,43,452",24.91,1.80,-1.75,250,1.45,1.75,100,"18,550.00","3,200",913.50,930.55,"3,600",-105.85,915.00,26.06,8,-1,13,
,"48,912","-13,334","2,61,491",24.85,1.25,-2.25,"3,550",1.25,1.35,"3,700","18,600.00",150,938.60,975.30,250,-79.05,975.10,35.90,30,5,67,
,"11,792","-2,238","42,885",26.43,1.45,-1.70,350,1.25,1.45,"1,250","18,650.00","3,350","1,011.30","1,030.70","3,500",-,"1,117.95",-,-,-,11,
,"46,679","-9,064","2,30,315",27.03,1.30,-1.90,"2,650",1.25,1.30,"6,350","18,700.00",150,"1,050.50","1,094.70",50,104.90,"1,255.25",87.54,2,-,10,
,"3,386","-1,504","46,514",27.52,1.05,-2.00,"10,000",1.00,1.05,100,"18,750.00",150,"1,110.55","1,133.65",950,-,849.40,-,-,-,1,
,"31,249","-27,693","2,11,221",28.57,1.05,-2.20,"93,600",1.00,1.05,"4,400","18,800.00","1,200","1,162.20","1,174.55",150,-71.25,"1,186.85",47.82,7,-1,22,
,"2,960","-1,011","15,487",29.62,1.05,-1.95,350,1.05,1.15,900,"18,850.00",150,"1,213.05","1,250.65",150,-,"1,057.80",-,-,-,4,
,"18,109","-6,934","1,07,073",30.98,1.15,-1.80,"1,450",1.05,1.15,"32,900","18,900.00","1,450","1,237.90","1,300.55","1,900",5.80,"1,337.80",68.49,2,-,8,
,"1,322",-356,"11,418",31.51,1.00,-1.85,500,1.00,1.15,"1,800","18,950.00",500,"1,311.75","1,343.55",950,-,"1,324.00",-,-,-,3,
,"1,00,609","-85,732","7,01,662",32.15,0.90,-2.05,"27,150",0.90,0.95,"2,46,900","19,000.00",100,"1,361.10","1,376.75","3,900",-82.35,"1,367.30",40.34,12,2,26,
,652,-237,"11,606",32.73,0.80,-2.00,"1,650",0.80,0.90,"1,100","19,050.00",150,"1,399.50","1,452.05",150,-,"1,020.40",-,-,-,-,
,"12,567","-3,264","37,143",34.73,1.05,-1.70,"3,250",0.80,1.50,250,"19,100.00","1,150","1,455.80","1,510.45","1,150",-,"1,215.35",-,-,-,-,
,866,-136,"5,755",35.54,1.00,-1.65,"1,250",1.00,1.05,100,"19,150.00","1,500","1,486.30","1,550.15","1,500",-,"1,073.65",-,-,-,-,
,"17,408","-2,226","38,246",35.90,0.85,-1.65,"15,950",0.75,0.85,"8,150","19,200.00","1,500","1,537.55","1,602.80","1,500",-,-,-,-,-,-,
,714,239,"2,023",37.10,0.90,-1.70,"1,900",0.85,1.20,200,"19,250.00","1,500","1,586.60","1,650.80","1,500",-,"1,205.95",-,-,-,1,
,"6,239",-443,"10,378",37.60,0.80,-1.75,"1,700",0.75,0.80,"1,550","19,300.00",150,"1,651.50","1,698.70",100,-,"1,748.00",-,-,-,6,
,582,86,"1,524",38.81,0.85,-1.60,50,0.90,1.10,"2,000","19,350.00","3,000","1,652.85","1,754.90","1,500",-,-,-,-,-,-,
,"27,537","6,587","40,625",38.98,0.70,-1.80,"10,800",0.70,0.75,"68,400","19,400.00",250,"1,757.15","1,798.60",100,-,"1,501.70",-,-,-,2,
,"2,415",-92,"4,271",40.20,0.75,-1.65,"3,200",0.75,0.85,"1,700","19,450.00","1,500","1,784.35","1,851.75","1,500",-,-,-,-,-,-,
,"67,918","-36,042","1,60,320",41.67,0.85,-1.70,"93,800",0.80,0.85,"43,000","19,500.00","2,650","1,855.00","1,918.65","1,500",-,"1,608.95",-,-,-,2,
,"4,321",-639,"8,767",42.07,0.75,-1.70,"3,450",0.75,0.80,"9,000","19,550.00",350,"1,899.65","1,962.75",350,-,-,-,-,-,-,
